Title,ViewDate,Year,Rated,Genre,Director,Writer,Actors,Language,imdbRating,imdbID
Scenes of a Sexual Nature,2013-12-20,2006,R,"Comedy, Drama, Romance",Ed Blum,Aschlin Ditta,"Holly Aird, Eileen Atkins, Hugh Bonneville",English,6.0,tt0475380
(Dis)Honesty: The Truth About Lies,2016-06-21,2015,Not Rated,"Documentary, Drama, News",Yael Melamede,N/A,Dan Ariely,English,7.5,tt2630898
12 Years a Slave,2014-09-06,2013,R,"Biography, Drama, History",Steve McQueen,"John Ridley, Solomon Northup","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender",English,8.1,tt2024544
1922,2017-12-24,2017,TV-MA,"Crime, Drama, Horror",Zak Hilditch,"Stephen King, Zak Hilditch","Thomas Jane, Molly Parker, Dylan Schmid",English,6.2,tt6214928
20th Century Women,2020-07-16,2016,R,"Comedy, Drama",Mike Mills,Mike Mills,"Annette Bening, Elle Fanning, Greta Gerwig",English,7.3,tt4385888
3 Percent,2016-11-27,2012,N/A,"Short, Adventure, Biography, Drama",Ron Strobel,Ron Strobel,William Strobel,English,N/A,tt2455304
30 Rock,2021-08-24,2006–2013,TV-14,Comedy,N/A,Tina Fey,"Tina Fey, Alec Baldwin, Tracy Morgan",English,8.2,tt0496424
42,2017-12-09,2013,PG-13,"Biography, Drama, Sport",Brian Helgeland,Brian Helgeland,"Chadwick Boseman, T.R. Knight, Harrison Ford",English,7.5,tt0453562
50 First Dates,2017-06-06,2004,PG-13,"Comedy, Drama, Romance",Peter Segal,George Wing,"Adam Sandler, Drew Barrymore, Rob Schneider","English, Hawaiian, Mandarin",6.8,tt0343660
50/50,2019-12-19,2011,R,"Comedy, Drama, Romance",Jonathan Levine,Will Reiser,"Joseph Gordon-Levitt, Seth Rogen, Anna Kendrick",English,7.6,tt1306980
6 Balloons,2018-08-12,2018,TV-MA,Drama,Marja-Lewis Ryan,Marja-Lewis Ryan,"Abbi Jacobson, Dave Franco, Charlotte Carel",English,5.9,tt6142496
6 Underground,2019-12-20,2019,R,"Action, Thriller",Michael Bay,"Paul Wernick, Rhett Reese","Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo","English, Turkmen, Cantonese, Italian, Spanish, Ukrainian, French",6.1,tt8106534
72 Dangerous Animals: Latin America,2017-12-29,2017,N/A,Documentary,N/A,N/A,"Bob Brisbane, Rui Seabra Ferreira Jr., Vidal Haddad Jr.",English,6.6,tt7909708
8 Mile,2015-03-02,2002,R,"Drama, Music",Curtis Hanson,Scott Silver,"Eminem, Brittany Murphy, Kim Basinger",English,7.1,tt0298203
9,2017-11-19,2009,PG-13,"Animation, Action, Adventure",Shane Acker,"Pamela Pettler, Shane Acker, Ben Gluck","Elijah Wood, Jennifer Connelly, Crispin Glover",English,7.1,tt0472033
A Beautiful Mind,2018-09-07,2001,PG-13,"Biography, Drama",Ron Howard,"Akiva Goldsman, Sylvia Nasar","Russell Crowe, Ed Harris, Jennifer Connelly",English,8.2,tt0268978
A Case of You,2018-08-21,2013,R,"Comedy, Romance",Kat Coiro,"Christian Long, Justin Long, Keir O'Donnell","Justin Long, Keir O'Donnell, Evan Rachel Wood",English,5.6,tt1817081
