MFile 1 4 120
MTrk
0 TimeSig 4/4 24 8
0 Tempo 600000
0 Meta TrkEnd
TrkEnd
MTrk
480 On ch=1 n=59 v=64
600 On ch=1 n=59 v=0
600 On ch=1 n=63 v=64
720 On ch=1 n=63 v=0
720 On ch=1 n=64 v=64
840 On ch=1 n=64 v=0
960 On ch=1 n=64 v=64
1080 On ch=1 n=64 v=0
1080 On ch=1 n=61 v=64
1199 On ch=1 n=59 v=64
1200 On ch=1 n=61 v=0
1319 On ch=1 n=59 v=0
1439 On ch=1 n=59 v=64
1559 On ch=1 n=59 v=0
1559 On ch=1 n=59 v=64
1679 On ch=1 n=59 v=0
1679 On ch=1 n=64 v=64
1799 On ch=1 n=64 v=0
1799 On ch=1 n=64 v=64
1919 On ch=1 n=64 v=0
1919 On ch=1 n=64 v=64
2039 On ch=1 n=64 v=0
2039 On ch=1 n=64 v=64
2159 On ch=1 n=64 v=0
2159 On ch=1 n=64 v=64
2999 On ch=1 n=64 v=0
2999 On ch=1 n=63 v=64
3119 On ch=1 n=63 v=0
3119 On ch=1 n=64 v=64
3239 On ch=1 n=64 v=0
3359 On ch=1 n=59 v=64
3480 On ch=1 n=59 v=0
3480 On ch=1 n=63 v=64
3600 On ch=1 n=63 v=0
3600 On ch=1 n=64 v=64
3720 On ch=1 n=64 v=0
4080 On ch=1 n=66 v=64
4500 On ch=1 n=66 v=0
4500 On ch=1 n=63 v=64
4560 On ch=1 n=63 v=0
4560 On ch=1 n=63 v=64
4680 On ch=1 n=63 v=0
4680 On ch=1 n=61 v=64
4740 On ch=1 n=61 v=0
5040 On ch=1 n=64 v=64
5460 On ch=1 n=64 v=0
5460 On ch=1 n=64 v=64
5520 On ch=1 n=64 v=0
5520 On ch=1 n=64 v=64
5640 On ch=1 n=64 v=0
5640 On ch=1 n=63 v=64
5760 On ch=1 n=63 v=0
5760 On ch=1 n=66 v=64
5940 On ch=1 n=66 v=0
5940 On ch=1 n=66 v=64
6000 On ch=1 n=66 v=0
6000 On ch=1 n=66 v=64
6120 On ch=1 n=66 v=0
6120 On ch=1 n=64 v=64
6240 On ch=1 n=64 v=0
6240 On ch=1 n=64 v=64
6480 On ch=1 n=64 v=0
6480 On ch=1 n=63 v=64
6540 On ch=1 n=63 v=0
6540 On ch=1 n=71 v=64
6660 On ch=1 n=71 v=0
6660 On ch=1 n=69 v=64
6780 On ch=1 n=69 v=0
6780 On ch=1 n=68 v=64
6900 On ch=1 n=68 v=0
6900 On ch=1 n=66 v=64
7020 On ch=1 n=66 v=0
7020 On ch=1 n=64 v=64
7140 On ch=1 n=64 v=0
7140 On ch=1 n=63 v=64
7200 On ch=1 n=63 v=0
7200 On ch=1 n=61 v=64
7260 On ch=1 n=61 v=0
7260 On ch=1 n=61 v=64
7320 On ch=1 n=61 v=0
7320 On ch=1 n=61 v=64
7380 On ch=1 n=61 v=0
7380 On ch=1 n=61 v=64
