source,target,Weight,piece_count
"G:maj","D:maj",1004,100
"C:maj","G:maj",907,111
"A:maj","E:maj",894,76
"G:maj","C:maj",894,117
"C:maj","F:maj",889,94
"D:maj","G:maj",873,114
"A:maj","D:maj",836,106
"E:maj","A:maj",791,87
"F:maj","C:maj",785,80
"D:maj","A:maj",764,92
"G:maj","A:maj",631,70
"B:maj","E:maj",565,64
"Bb:maj","C:maj",553,54
"F:maj","G:maj",527,68
"F:maj","Bb:maj",493,67
"C:maj","D:maj",483,62
"E:maj","B:maj",474,39
"Bb:maj","F:maj",461,48
"D:maj","C:maj",391,46
"A:maj","G:maj",379,48
"G:maj","F:maj",372,52
"C:maj","Bb:maj",367,40
"A:maj","B:maj",328,38
"G:maj","A:min",318,31
"D:maj","E:maj",306,42
"Eb:maj","Bb:maj",306,41
"Bb:maj","Eb:maj",294,49
"D:maj/5","A:maj",292,20
"C:maj","D:min",256,31
"Db:maj","Ab:maj",255,37
"F#:maj","B:maj",255,22
"G:maj","E:min",248,42
"F:7","Bb:maj",235,32
"B:maj","A:maj",233,28
"D:maj","B:min",230,24
"E:maj","D:maj",222,32
"A:min","F:maj",211,27
"Eb:maj","Ab:maj",210,41
"G:7","C:maj",207,44
"B:maj","F#:maj",203,17
"A:maj","D:maj/5",197,20
"Ab:maj","Db:maj",195,37
"D:7","G:maj",186,35
"F:maj/5","C:maj",185,20
"D:min","C:maj",183,24
"C:maj","A:min",179,31
"Gb:maj","Ab:maj",179,16
"Gb:maj","Db:maj",178,21
"A:7","D:maj",174,39
"E:maj","C#:min",173,18
"A:min","G:maj",168,28
"E:7","A:maj",162,34
"F:maj","D:min",162,25
"B:min","G:maj",158,27
"Db:maj","Eb:maj",156,21
"E:min","G:maj",156,22
"C#:min","A:maj",155,15
"Db:maj","Gb:maj",154,18
"Ab:maj","Bb:maj",153,18
"Ab:maj","Eb:maj",149,33
"C:maj","F:maj/5",145,15
"D:maj","A:7",139,11
"D:maj","E:min",137,28
"D:min","Bb:maj",131,19
"E:maj","A:maj/5",129,8
"A:min","A:min/4",127,2
"C:7","F:maj",127,38
"A:maj/5","E:maj",126,11
"C:min","Ab:maj",126,15
"G:min","C:7",125,5
"G:maj/5","D:maj",124,15
"A:min","C:maj",119,20
"Bb:maj","F:7",118,19
"Eb:maj","F:maj",117,27
"Ab:maj","F:min",116,16
"B:7","E:maj",116,20
"A:7","G:maj",115,6
"A:maj","B:min",112,26
"Bb:maj","C:min",111,14
"Eb:maj","Db:maj",111,15
"F:maj","Eb:maj",111,26
"C:7","G:min",110,2
"B:min","A:maj",108,21
"B:min","D:maj",107,15
"E:min","C:maj",105,21
"Ab:maj","Gb:maj",102,14
"E:maj","F#:maj",102,13
"A:min","D:maj",101,14
"Bb:7","Eb:maj",99,26
"E:min","A:min",99,18
"D:maj","G:maj/5",97,9
"Eb:7","Ab:maj",97,21
"F:maj","F:maj/3",97,6
"G:min","F:maj",93,15
"B:1/1","C#:1/1",92,3
"D:min","F:maj",91,16
"Db:maj/5","Ab:maj",91,9
"G:7","D:7",91,10
"C:maj/5","G:maj",90,15
"E:min","A:maj",89,20
"D:7","G:7",88,19
"E:maj/3","A:maj",88,11
"F#:min","D:maj",88,15
"Ab:maj","Db:maj/5",87,9
"F#:maj","E:maj",87,12
"Bb:maj","G:min",86,21
"C#:1/1","B:1/1",85,1
"C:7","F:7",85,18
"C:sus4","F:maj",85,4
"D:min","G:maj",85,17
"G:maj","D:7",85,14
"A:1/1","E:1/1",83,5
"E:maj","F#:min7",83,6
"E:maj","B:min",81,8
"B:min","E:min",80,17
"E:maj","G:maj",80,12
"E:min","D:maj",80,19
"A:min/4","G:maj",79,1
"A:maj","F#:min",78,21
"D:min7","G:7",78,18
"F:maj","G:min7",78,8
"F:min","Ab:maj",78,11
"D:maj","E:maj/b7",77,5
"Gb:maj","Fb:maj",77,1
"Bb:7","F:7",76,4
"D:maj","A:min",76,13
"C:min","F:min",75,8
"G:maj","C:maj/5",75,12
"B:7","E:min",74,14
"G:maj","B:min",74,17
"A:maj/3","D:maj",72,7
"E:maj","F#:min",72,13
"Fb:maj","Gb:maj",72,1
"G:maj","D:min7",72,9
"E:7","A:min",71,15
"E:min","A:maj6",71,2
"B:7","E:7",70,15
"C:maj","E:min",70,16
"Eb:maj","C:min",70,12
"A:min7","G:maj",69,8
"Bb:maj","F:maj/3",69,13
"C#:maj","F#:maj",69,6
"C:maj","C:7",69,23
"F:sus4","F:maj",69,8
"Ab:7","Db:maj",68,17
"F:7","Bb:7",68,7
"G:min","C:maj",68,13
"A:maj","B:min7",67,8
"F:maj","E:min",67,10
"G:sus4","G:maj",67,13
"A:maj","C:maj",66,12
"D:maj","D:maj/7",66,6
"Gb:7","Db:7",66,5
"B:maj","C#:min",65,7
"Bb:maj/5","F:maj",65,7
"D:maj","B:maj",65,9
"A:maj","E:maj/3",64,9
"A:min","D:min",64,15
"C:7","G:7",64,7
"C:maj","A:min7",64,7
"D:maj","F#:min",64,15
"D:sus4","D:maj",64,15
"E:maj","B:7",64,9
"F:min","Db:maj",64,11
"E:min7","A:maj",63,7
"Eb:min","Db:maj",63,3
"F:7","C:7",63,9
"F:maj","G:min",63,11
"G:7","C:7",63,16
"Db:7","Ab:7",62,7
"E:maj","E:7",62,17
"F#:min7","A:maj",62,6
"B:sus4","B:maj",61,8
"D:maj","D:maj/b7",61,4
"F:maj/3","Bb:maj",61,8
"Bb:maj","D:min",60,5
"F:maj","Bb:maj/5",60,8
"G:min","Eb:maj",60,11
"A:min7","D:min7",59,8
"C:5","D:5",59,3
"D:maj","C:maj(9)",59,4
"F:min","F:min7/5",59,1
"G:min","C:min",59,10
"E:min7","A:13",58,1
"G:maj","D:min",58,6
"D:5","A:5",57,4
"D:min7","A:min7",57,7
"Db:maj","Eb:min",57,4
"F#:min","A:maj",57,13
"F#:min7","B:7",57,11
"F:maj","D:maj",57,10
"A:13","E:min7",56,1
"A:min7","Bb:maj",56,5
"B:maj","D:maj",56,9
"D#:min","G#:maj/5",56,1
"F#:min","G:maj",56,12
"F:min7","Bb:7/5",56,1
"F:min7/5","F:min",56,1
"G#:maj/5","D#:min",56,1
"A:maj6","E:min",55,1
"Bb:7/5","F:min7",55,1
"E:7","A:7",55,12
"Eb:min","Gb:maj",55,5
"Eb:min7","Ab:7",55,8
"G:min7","C:maj",55,11
"C#:min7","F#:min7",54,7
"Db:maj","Ab:7",54,10
"E:maj/2","D:maj",54,1
"F#:min","E:maj/2",54,1
"F:maj","G:7",54,9
"A:maj","D:maj(9)",53,4
"B:min","C:maj",53,12
"C#:min7","F#:maj6",53,1
"A:maj","E:7",52,13
"A:maj/4","D:maj",52,4
"Db:min7","Gb:7",52,1
"F#:7","B:maj",52,11
"F#:maj6","C#:min7",52,1
"G:5","A:5",52,5
"Ab:7","Eb:7",51,6
"C:maj","Eb:maj",51,13
"Db:7","Gb:7",51,5
"E:1/1","A:1/1",51,6
"E:min7","A:7",51,8
