source,target,Weight
Sonia Alomis,Julius Adler,1
Sonia Alomis,Jacob Ben-Ami,1
Sonia Alomis,Peretz Hirschbein,1
Sonia Alomis,Alexander Azro,1
Sonia Alomis,Boris Thomashefsky,1
Sonia Alomis,Slava Estrin,1
Sonia Altboym,Zygmunt Turkow,1
Sonia Altboym,Yonas Turkow,1
Sonia Altboym,Ester-Rokhl Kaminska,1
Sonia Altboym,Ida Kaminska,1
Sonia Altboym,Władysław Godik,1
Sonia Altboym,Diana Blumenfeld,1
Sonia Altboym,Moyshe Lipman,1
Sonia Altboym,Ruth Turkow,1
Sonia Altboym,Adam Domb,1
Sonia Altboym,Israel Kamay,1
Sonia Altboym,Yoyel Bergman,1
Sonia Altboym,Meir Melman,1
Sonia Altboym,Alex Stein,1
Sonia Altboym,Adam Domb,1
Sonia Altboym,Klara Segalovitch,1
Sonia Altboym,Henrik Tarlo,1
Alexander Azro,Jacob Ben-Ami,1
Alexander Azro,Peretz Hirschbein,1
Alexander Azro,William A. Seiter,1
Alexander Azro,Groucho Marx,1
Alexander Azro,Harpo Marx,1
Alexander Azro,Chico Marx,1
Alexander Azro,Lucille Ball,1
Alexander Azro,Clark Gable,1
Alexander Azro,Hedy Lamarr,1
Alexander Azro,Yankev Blayfer,1
Alexander Azro,Jack Lemmon,1
Alexander Azro,Mary Martin,1
Alexander Azro,Sophie Tucker,1
Alexander Azro,Gene Kelly,1
Alexander Azro,Boris Thomashefsky,1
Alexander Azro,Slava Estrin,1
Wolf Barzel,Joseph Green,1
Wolf Barzel,Natalie Wood,1
Wolf Barzel,John Garfield,1
Wolf Barzel,Sanford Meisner,1
Wolf Barzel,Rita Moreno,1
Wolf Barzel,Ethel Barrymore,1
Wolf Barzel,Stella Adler,1
Wolf Barzel,Tyrone Guthrie,1
Wolf Barzel,Lee Strasberg,1
Wolf Barzel,Boris Aronson,1
Wolf Barzel,Rudolph Schildkraut,1
Wolf Barzel,Zvi Scooler,1
Wolf Barzel,Dina Halpern,1
Wolf Barzel,Zero Mostel,1
Wolf Barzel,Mendl Elkin,1
Wolf Barzel,Chaim Shniur,1
Wolf Barzel,Mordechai Yachson,1
Wolf Barzel,Luther Adler,1
Wolf Barzel,Jacob Bergrin,1
Wolf Barzel,Yankev Blayfer,1
